metin,kategori,label,intent,intent_label,oncelik,oncelik_label,stil,kaynak
Asansör kapısı takıldı Vezneciler B1,mekanik_istasyon,0,fault_report,0,P3,2,devrik,relabel:ollama
Asansör kapısı takıldı B1 kat,mekanik_istasyon,0,fault_report,0,P3,2,devrik,relabel:gemini
Yürüyen merdiven ses çıkarıyor Ümraniye,mekanik_istasyon,0,fault_report,0,P3,2,devrik,relabel:ollama
yuruyen merdiven ses cikar taksim,mekanik_istasyon,0,fault_report,0,P3,2,yazim_yanlisi,relabel:ollama
asansor calismiyo kartal istasyon,mekanik_istasyon,0,fault_report,0,P3,2,yazim_yanlisi,relabel:ollama
asansor calismiyor kartal istasyon,mekanik_istasyon,0,fault_report,0,P3,2,yazim_yanlisi,relabel:gemini
Bariyer hidrolik yağ basıyor Topkapı,mekanik_istasyon,0,fault_report,0,P3,2,devrik,relabel:ollama
Bariyer hidrolik yağı sızıyor,mekanik_istasyon,0,fault_report,0,P3,2,cok_kisa,relabel:ollama
Yürüyen merdiven 3 durdu,mekanik_istasyon,0,fault_report,0,P3,2,cok_kisa,relabel:ollama
Yürüyen merdiven durdu 3. peron,mekanik_istasyon,0,fault_report,0,P3,2,devrik,relabel:gemini
veznecıler gırıs kapısı mekanızması degısse cok iyi olr.,mekanik_istasyon,0,suggestion,4,P4,3,yazim_yanlisi,relabel:ollama
Ataköy istasyonu turnike bölgesi BSO-05 numaralı bariyer motoru dondu açılmıyor.,mekanik_istasyon,0,fault_report,0,P3,2,standart,relabel:ollama
Üsküdar iskelesindeki asansörün kapı mekanizması arızası sebebiyle ne kadar süre servis dışı kalacağı belli mi?,mekanik_istasyon,0,information_request,2,P4,3,standart,relabel:ollama
Ziya Gökalp BSO iade modülü kapak açma komutu vermiyor.,mekanik_istasyon,0,fault_report,0,P3,2,standart,relabel:ollama
oto kapi sensor calismiyo pendik ist,mekanik_istasyon,0,fault_report,0,P3,2,yazim_yanlisi,relabel:ollama
Bariyer boyları uzatılsın.,mekanik_istasyon,0,suggestion,4,P4,3,cok_kisa,relabel:ollama
"Perona inen asansörün kapı motoru sıkıştı, kapı tam kapanmadığı için asansör aşağı hareket etmiyor.",mekanik_istasyon,0,fault_report,0,P3,2,,manuel_hedefli:hard_negative_kapi
Bariyer kolu çökeldi Ataköy çıkış kat,mekanik_istasyon,0,fault_report,0,P3,2,devrik,relabel:ollama
"Metro girişindeki demir kepenk kapılar yarıya kadar inmiş takılı kalmış, insanlar eğilerek giriyor.",mekanik_istasyon,0,fault_report,0,P3,2,,manuel_hedefli:hard_negative_kapi
Kapi acilmiyor yolcu saglam cikis.,mekanik_istasyon,0,fault_report,0,P3,2,yazim_yanlisi,relabel:gemini
"Vezneciler geçiş torneleri merkezi sistemden ""Kilitli"" modunda kaldı.",mekanik_istasyon,0,fault_report,0,P2,1,standart,relabel:ollama
Atatürk Havalimanı istasyonu 3 numaralı yürüyen merdiven gürültülü çalışıyor duraklama riski var.,mekanik_istasyon,0,fault_report,0,P3,2,standart,relabel:ollama
Turnike kolu sıkıştı Gayrettepe yoğun saat,mekanik_istasyon,0,fault_report,0,P3,2,devrik,relabel:ollama
